dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
OCR_14x14,0.1,0.1,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,0.1,1.0,0,12,18.0,6.0,"[3.3, 8.7]"
OCR_14x14,0.1,10.0,0,17,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,0.1,100.0,0,123,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,0.1,1000.0,162,200,11.0,3.7,"[1.5, 5.8]"
OCR_14x14,0.1,10000.0,538,200,29.0,9.7,"[6.3, 13.0]"
OCR_14x14,0.1,100000.0,700,200,141.0,47.0,"[41.4, 52.6]"
OCR_14x14,1.0,0.1,0,12,17.0,5.7,"[3.1, 8.3]"
OCR_14x14,1.0,1.0,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,1.0,10.0,0,12,18.0,6.0,"[3.3, 8.7]"
OCR_14x14,1.0,100.0,0,17,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,1.0,1000.0,0,123,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,1.0,10000.0,162,200,11.0,3.7,"[1.5, 5.8]"
OCR_14x14,1.0,100000.0,538,200,29.0,9.7,"[6.3, 13.0]"
OCR_14x14,10.0,0.1,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,10.0,1.0,0,12,17.0,5.7,"[3.1, 8.3]"
OCR_14x14,10.0,10.0,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,10.0,100.0,0,12,18.0,6.0,"[3.3, 8.7]"
OCR_14x14,10.0,1000.0,0,17,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,10.0,10000.0,0,123,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,10.0,100000.0,162,200,11.0,3.7,"[1.5, 5.8]"
OCR_14x14,100.0,0.1,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,100.0,1.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,100.0,10.0,0,12,17.0,5.7,"[3.1, 8.3]"
OCR_14x14,100.0,100.0,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,100.0,1000.0,0,12,18.0,6.0,"[3.3, 8.7]"
OCR_14x14,100.0,10000.0,0,17,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,100.0,100000.0,0,123,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,1000.0,0.1,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,1000.0,1.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,1000.0,10.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,1000.0,100.0,0,12,17.0,5.7,"[3.1, 8.3]"
OCR_14x14,1000.0,1000.0,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,1000.0,10000.0,0,12,18.0,6.0,"[3.3, 8.7]"
OCR_14x14,1000.0,100000.0,0,17,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,10000.0,0.1,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,10000.0,1.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,10000.0,10.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,10000.0,100.0,0,10,15.0,5.0,"[2.5, 7.5]"
OCR_14x14,10000.0,1000.0,0,12,17.0,5.7,"[3.1, 8.3]"
OCR_14x14,10000.0,10000.0,0,11,14.0,4.7,"[2.3, 7.1]"
OCR_14x14,10000.0,100000.0,0,12,18.0,6.0,"[3.3, 8.7]"
