dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
expressions.gz,0.1,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,0.1,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,0.1,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,0.1,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,0.1,1000.0,0,63,6.0,9.0,"[2.1, 15.8]"
expressions.gz,0.1,10000.0,0,45,4.0,6.0,"[0.3, 11.6]"
expressions.gz,0.1,100000.0,0,66,7.0,10.4,"[3.1, 17.8]"
expressions.gz,1.0,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1.0,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1.0,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1.0,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1.0,1000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1.0,10000.0,0,63,6.0,9.0,"[2.1, 15.8]"
expressions.gz,1.0,100000.0,0,45,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,1000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,10000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10.0,100000.0,0,63,6.0,9.0,"[2.1, 15.8]"
expressions.gz,100.0,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,1000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,10000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,100.0,100000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,1000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,10000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,1000.0,100000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,0.1,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,1.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,10.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,100.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,1000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,10000.0,0,50,4.0,6.0,"[0.3, 11.6]"
expressions.gz,10000.0,100000.0,0,50,4.0,6.0,"[0.3, 11.6]"
