dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
gauss2D.gz,0.1,0.1,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,0.1,1.0,697,200,260.0,21.7,"[19.3, 24.0]"
gauss2D.gz,0.1,10.0,806,200,141.0,11.8,"[9.9, 13.6]"
gauss2D.gz,0.1,100.0,824,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,0.1,1000.0,849,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,0.1,10000.0,1173,200,153.0,12.8,"[10.9, 14.6]"
gauss2D.gz,0.1,100000.0,1691,200,296.0,24.7,"[22.2, 27.1]"
gauss2D.gz,1.0,0.1,517,200,418.0,34.8,"[32.1, 37.5]"
gauss2D.gz,1.0,1.0,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,1.0,10.0,697,200,260.0,21.7,"[19.3, 24.0]"
gauss2D.gz,1.0,100.0,806,200,141.0,11.8,"[9.9, 13.6]"
gauss2D.gz,1.0,1000.0,824,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,1.0,10000.0,849,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,1.0,100000.0,1173,200,153.0,12.8,"[10.9, 14.6]"
gauss2D.gz,10.0,0.1,509,200,339.0,28.2,"[25.7, 30.8]"
gauss2D.gz,10.0,1.0,517,200,418.0,34.8,"[32.1, 37.5]"
gauss2D.gz,10.0,10.0,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,10.0,100.0,697,200,260.0,21.7,"[19.3, 24.0]"
gauss2D.gz,10.0,1000.0,806,200,141.0,11.8,"[9.9, 13.6]"
gauss2D.gz,10.0,10000.0,824,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,10.0,100000.0,849,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,100.0,0.1,519,200,341.0,28.4,"[25.9, 31.0]"
gauss2D.gz,100.0,1.0,509,200,339.0,28.2,"[25.7, 30.8]"
gauss2D.gz,100.0,10.0,517,200,418.0,34.8,"[32.1, 37.5]"
gauss2D.gz,100.0,100.0,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,100.0,1000.0,697,200,260.0,21.7,"[19.3, 24.0]"
gauss2D.gz,100.0,10000.0,806,200,141.0,11.8,"[9.9, 13.6]"
gauss2D.gz,100.0,100000.0,824,200,126.0,10.5,"[8.8, 12.2]"
gauss2D.gz,1000.0,0.1,529,200,485.0,40.4,"[37.6, 43.2]"
gauss2D.gz,1000.0,1.0,519,200,341.0,28.4,"[25.9, 31.0]"
gauss2D.gz,1000.0,10.0,509,200,339.0,28.2,"[25.7, 30.8]"
gauss2D.gz,1000.0,100.0,517,200,418.0,34.8,"[32.1, 37.5]"
gauss2D.gz,1000.0,1000.0,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,1000.0,10000.0,697,200,260.0,21.7,"[19.3, 24.0]"
gauss2D.gz,1000.0,100000.0,806,200,141.0,11.8,"[9.9, 13.6]"
gauss2D.gz,10000.0,0.1,528,200,495.0,41.2,"[38.5, 44.0]"
gauss2D.gz,10000.0,1.0,529,200,485.0,40.4,"[37.6, 43.2]"
gauss2D.gz,10000.0,10.0,519,200,341.0,28.4,"[25.9, 31.0]"
gauss2D.gz,10000.0,100.0,509,200,339.0,28.2,"[25.7, 30.8]"
gauss2D.gz,10000.0,1000.0,517,200,418.0,34.8,"[32.1, 37.5]"
gauss2D.gz,10000.0,10000.0,562,200,445.0,37.1,"[34.4, 39.8]"
gauss2D.gz,10000.0,100000.0,697,200,260.0,21.7,"[19.3, 24.0]"
