dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
gender.gz,0.1,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,0.1,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,0.1,10.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,0.1,100.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,0.1,1000.0,0,58,44.0,5.2,"[3.7, 6.7]"
gender.gz,0.1,10000.0,0,66,43.0,5.1,"[3.6, 6.5]"
gender.gz,0.1,100000.0,0,78,45.0,5.3,"[3.8, 6.8]"
gender.gz,1.0,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1.0,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1.0,10.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1.0,100.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,1.0,1000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,1.0,10000.0,0,58,44.0,5.2,"[3.7, 6.7]"
gender.gz,1.0,100000.0,0,66,43.0,5.1,"[3.6, 6.5]"
gender.gz,10.0,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10.0,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10.0,10.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10.0,100.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10.0,1000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,10.0,10000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,10.0,100000.0,0,58,44.0,5.2,"[3.7, 6.7]"
gender.gz,100.0,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,100.0,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,100.0,10.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,100.0,100.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,100.0,1000.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,100.0,10000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,100.0,100000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,1000.0,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,10.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,100.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,1000.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,10000.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,1000.0,100000.0,0,70,49.0,5.8,"[4.2, 7.3]"
gender.gz,10000.0,0.1,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,1.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,10.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,100.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,1000.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,10000.0,0,60,39.0,4.6,"[3.2, 6.0]"
gender.gz,10000.0,100000.0,0,60,39.0,4.6,"[3.2, 6.0]"
