dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
tr3F1,0.1,0.1,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,0.1,1.0,0,52,248.0,15.0,"[13.3, 16.8]"
tr3F1,0.1,10.0,0,68,236.0,14.3,"[12.6, 16.0]"
tr3F1,1.0,0.1,0,47,246.0,14.9,"[13.2, 16.6]"
tr3F1,1.0,1.0,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,1.0,10.0,0,52,248.0,15.0,"[13.3, 16.8]"
tr3F1,1.0,100.0,0,68,236.0,14.3,"[12.6, 16.0]"
tr3F1,10.0,0.1,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,10.0,1.0,0,47,246.0,14.9,"[13.2, 16.6]"
tr3F1,10.0,10.0,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,10.0,100.0,0,52,248.0,15.0,"[13.3, 16.8]"
tr3F1,10.0,1000.0,0,68,236.0,14.3,"[12.6, 16.0]"
tr3F1,100.0,0.1,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,100.0,1.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,100.0,10.0,0,47,246.0,14.9,"[13.2, 16.6]"
tr3F1,100.0,100.0,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,100.0,1000.0,0,52,248.0,15.0,"[13.3, 16.8]"
tr3F1,100.0,10000.0,0,68,236.0,14.3,"[12.6, 16.0]"
tr3F1,1000.0,0.1,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,1000.0,1.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,1000.0,10.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,1000.0,100.0,0,47,246.0,14.9,"[13.2, 16.6]"
tr3F1,1000.0,1000.0,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,1000.0,10000.0,0,52,248.0,15.0,"[13.3, 16.8]"
tr3F1,1000.0,100000.0,0,68,236.0,14.3,"[12.6, 16.0]"
tr3F1,10000.0,0.1,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,10000.0,1.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,10000.0,10.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,10000.0,100.0,0,52,249.0,15.1,"[13.4, 16.8]"
tr3F1,10000.0,1000.0,0,47,246.0,14.9,"[13.2, 16.6]"
tr3F1,10000.0,10000.0,0,43,271.0,16.4,"[14.6, 18.2]"
tr3F1,10000.0,100000.0,0,52,248.0,15.0,"[13.3, 16.8]"
