dataFile,a,b,E,k,Ete,Ete (%),Ite (%)
videos.gz,0.1,0.1,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,0.1,1.0,2788,200,647.0,27.0,"[25.2, 28.8]"
videos.gz,0.1,10.0,4424,200,673.0,28.1,"[26.3, 29.9]"
videos.gz,0.1,100.0,5565,200,1140.0,47.6,"[45.6, 49.6]"
videos.gz,0.1,1000.0,5566,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,0.1,10000.0,5590,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,0.1,100000.0,5590,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,1.0,0.1,1150,200,732.0,30.6,"[28.7, 32.4]"
videos.gz,1.0,1.0,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,1.0,10.0,2788,200,647.0,27.0,"[25.2, 28.8]"
videos.gz,1.0,100.0,4424,200,673.0,28.1,"[26.3, 29.9]"
videos.gz,1.0,1000.0,5565,200,1140.0,47.6,"[45.6, 49.6]"
videos.gz,1.0,10000.0,5566,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,1.0,100000.0,5590,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,10.0,0.1,1052,200,813.0,33.9,"[32.0, 35.8]"
videos.gz,10.0,1.0,1150,200,732.0,30.6,"[28.7, 32.4]"
videos.gz,10.0,10.0,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,10.0,100.0,2788,200,647.0,27.0,"[25.2, 28.8]"
videos.gz,10.0,1000.0,4424,200,673.0,28.1,"[26.3, 29.9]"
videos.gz,10.0,10000.0,5565,200,1140.0,47.6,"[45.6, 49.6]"
videos.gz,10.0,100000.0,5566,200,1171.0,48.9,"[46.9, 50.9]"
videos.gz,100.0,0.1,1032,200,828.0,34.6,"[32.7, 36.5]"
videos.gz,100.0,1.0,1052,200,813.0,33.9,"[32.0, 35.8]"
videos.gz,100.0,10.0,1150,200,732.0,30.6,"[28.7, 32.4]"
videos.gz,100.0,100.0,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,100.0,1000.0,2788,200,647.0,27.0,"[25.2, 28.8]"
videos.gz,100.0,10000.0,4424,200,673.0,28.1,"[26.3, 29.9]"
videos.gz,100.0,100000.0,5565,200,1140.0,47.6,"[45.6, 49.6]"
videos.gz,1000.0,0.1,1026,200,831.0,34.7,"[32.8, 36.6]"
videos.gz,1000.0,1.0,1032,200,828.0,34.6,"[32.7, 36.5]"
videos.gz,1000.0,10.0,1052,200,813.0,33.9,"[32.0, 35.8]"
videos.gz,1000.0,100.0,1150,200,732.0,30.6,"[28.7, 32.4]"
videos.gz,1000.0,1000.0,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,1000.0,10000.0,2788,200,647.0,27.0,"[25.2, 28.8]"
videos.gz,1000.0,100000.0,4424,200,673.0,28.1,"[26.3, 29.9]"
videos.gz,10000.0,0.1,1020,200,826.0,34.5,"[32.6, 36.4]"
videos.gz,10000.0,1.0,1026,200,831.0,34.7,"[32.8, 36.6]"
videos.gz,10000.0,10.0,1032,200,828.0,34.6,"[32.7, 36.5]"
videos.gz,10000.0,100.0,1052,200,813.0,33.9,"[32.0, 35.8]"
videos.gz,10000.0,1000.0,1150,200,732.0,30.6,"[28.7, 32.4]"
videos.gz,10000.0,10000.0,1644,200,833.0,34.8,"[32.9, 36.7]"
videos.gz,10000.0,100000.0,2788,200,647.0,27.0,"[25.2, 28.8]"
